id|@~customer_id|@~address|@~city|@~province|@~created_at
1|@~675|@~Jalan Monginsidi No. 7|@~Kendari|@~Bali|@~2026-01-06 18:25:55.515
2|@~509|@~Gg. Gegerkalong Hilir No. 8|@~Batu|@~DKI Jakarta|@~2026-03-01 17:32:45.648
3|@~692|@~Gg. Sadang Serang No. 88|@~Tidore Kepulauan|@~Kalimantan Barat|@~2026-03-05 02:04:49.219
4|@~147|@~Gang Jend. A. Yani No. 4|@~Prabumulih|@~Sumatera Utara|@~2026-03-12 01:50:26.951
5|@~390|@~Jalan Ir. H. Djuanda No. 8|@~Kota Administrasi Jakarta Timur|@~DKI Jakarta|@~2026-02-16 15:43:14.592
6|@~205|@~Jalan KH Amin Jasuta No. 4|@~Jayapura|@~Gorontalo|@~2026-03-12 23:07:39.991
7|@~613|@~Gg. W.R. Supratman No. 7|@~Magelang|@~Lampung|@~2026-02-03 17:07:21.740
8|@~803|@~Jalan Erlangga No. 73|@~Blitar|@~Aceh|@~2026-02-09 18:17:52.059
9|@~849|@~Jalan Cihampelas No. 8|@~Kota Administrasi Jakarta Utara|@~Jawa Timur|@~2026-01-10 20:36:48.954
10|@~462|@~Gang Bangka Raya No. 6|@~Padangpanjang|@~Sulawesi Selatan|@~2026-02-21 08:48:13.277
11|@~784|@~Gg. Waringin No. 55|@~Banjarbaru|@~Kepulauan Bangka Belitung|@~2026-02-19 15:58:25.519
12|@~411|@~Jl. R.E Martadinata No. 4|@~Gorontalo|@~Sulawesi Tengah|@~2026-01-27 15:29:30.593
13|@~29|@~Jl. Joyoboyo No. 3|@~Pagaralam|@~Lampung|@~2026-03-13 12:38:57.214
14|@~128|@~Jalan Raya Ujungberung No. 57|@~Kota Administrasi Jakarta Selatan|@~DKI Jakarta|@~2026-02-09 06:06:31.326
15|@~471|@~Gang Siliwangi No. 962|@~Bontang|@~Lampung|@~2026-03-18 14:05:17.548
16|@~161|@~Gang Veteran No. 6|@~Tasikmalaya|@~Lampung|@~2026-03-16 18:49:52.551
17|@~857|@~Gg. Jakarta No. 875|@~Tangerang|@~Jawa Tengah|@~2026-01-09 02:33:03.061
18|@~719|@~Jl. Dipatiukur No. 784|@~Kota Administrasi Jakarta Timur|@~Jawa Barat|@~2026-02-03 16:01:02.581
19|@~795|@~Gang Waringin No. 983|@~Banjar|@~Sulawesi Selatan|@~2026-03-09 21:59:52.195
20|@~2|@~Gang Gegerkalong Hilir No. 933|@~Bengkulu|@~Jawa Barat|@~2026-03-15 22:44:28.303
21|@~73|@~Gg. Tebet Barat Dalam No. 947|@~Jambi|@~Kalimantan Tengah|@~2026-03-04 01:18:15.358
22|@~105|@~Jalan Cihampelas No. 04|@~Tanjungpinang|@~Jambi|@~2026-03-16 12:42:15.703
23|@~917|@~Gang Sukabumi No. 758|@~Serang|@~Jambi|@~2026-03-23 17:17:48.852
24|@~14|@~Jalan Cikutra Timur No. 82|@~Purwokerto|@~Papua Barat|@~2026-02-13 03:39:33.249
25|@~285|@~Jalan Soekarno Hatta No. 61|@~Solok|@~Kalimantan Barat|@~2026-01-22 13:07:05.213
26|@~801|@~Gg. Jamika No. 37|@~Kota Administrasi Jakarta Selatan|@~DI Yogyakarta|@~2026-02-08 03:38:54.205
27|@~936|@~Jalan Lembong No. 532|@~Parepare|@~Kalimantan Barat|@~2026-01-24 09:12:16.380
28|@~699|@~Jl. Peta No. 3|@~Blitar|@~Jawa Timur|@~2026-02-04 08:23:53.537
29|@~298|@~Jalan Pelajar Pejuang No. 990|@~Lhokseumawe|@~Bali|@~2026-03-25 02:29:53.620
30|@~382|@~Gg. Ahmad Dahlan No. 507|@~Banda Aceh|@~Sumatera Utara|@~2026-01-06 07:26:34.215
31|@~202|@~Gang PHH. Mustofa No. 1|@~Makassar|@~Banten|@~2026-01-24 21:37:01.828
32|@~920|@~Gg. Moch. Ramdan No. 819|@~Denpasar|@~Sumatera Utara|@~2026-02-27 08:39:53.407
33|@~950|@~Jalan Cikapayang No. 601|@~Makassar|@~Nusa Tenggara Barat|@~2026-03-25 11:13:24.397
34|@~747|@~Jl. Ahmad Dahlan No. 244|@~Ternate|@~Banten|@~2026-03-20 23:56:31.485
35|@~18|@~Gg. Moch. Toha No. 982|@~Salatiga|@~Maluku|@~2026-02-28 21:02:14.874
36|@~104|@~Gang PHH. Mustofa No. 2|@~Manado|@~Kalimantan Timur|@~2026-02-19 18:33:19.817
37|@~118|@~Jl. Pelajar Pejuang No. 603|@~Solok|@~DKI Jakarta|@~2026-02-07 10:21:49.807
38|@~367|@~Gang Cikutra Barat No. 7|@~Bengkulu|@~Kalimantan Barat|@~2026-02-26 00:24:26.294
39|@~464|@~Jl. Dipenogoro No. 9|@~Malang|@~Jambi|@~2026-03-11 17:30:53.418
40|@~629|@~Jalan H.J Maemunah No. 2|@~Sungai Penuh|@~Nusa Tenggara Timur|@~2026-01-12 01:05:17.258
41|@~616|@~Jalan Ciwastra No. 606|@~Tegal|@~Sumatera Barat|@~2026-02-17 20:44:18.479
42|@~910|@~Gang Sukabumi No. 9|@~Binjai|@~Bengkulu|@~2026-01-18 01:35:35.829
43|@~843|@~Jl. Soekarno Hatta No. 3|@~Purwokerto|@~Bengkulu|@~2026-01-04 12:10:36.968
44|@~526|@~Gg. Cempaka No. 118|@~Denpasar|@~Jawa Timur|@~2026-03-23 10:25:15.688
45|@~558|@~Jl. Pasir Koja No. 219|@~Pagaralam|@~Banten|@~2026-01-02 22:14:43.201
46|@~327|@~Jalan Antapani Lama No. 755|@~Bima|@~Kalimantan Utara|@~2026-01-04 01:19:06.217
47|@~559|@~Jalan Pelajar Pejuang No. 502|@~Kediri|@~Jawa Barat|@~2026-02-11 03:03:41.441
48|@~152|@~Gang Jend. Sudirman No. 565|@~Kendari|@~Kalimantan Utara|@~2026-01-08 05:22:16.702
49|@~673|@~Jalan Gegerkalong Hilir No. 8|@~Palopo|@~Kalimantan Utara|@~2026-01-09 14:54:41.575
50|@~378|@~Gg. Pasteur No. 165|@~Mojokerto|@~Kalimantan Timur|@~2026-03-04 10:34:07.656
51|@~732|@~Jl. Jend. A. Yani No. 492|@~Bandung|@~Sulawesi Barat|@~2026-01-09 09:52:52.651
52|@~826|@~Jl. Merdeka No. 449|@~Kota Administrasi Jakarta Timur|@~Riau|@~2026-03-27 07:27:35.692
53|@~312|@~Gang Waringin No. 3|@~Padang|@~Kepulauan Bangka Belitung|@~2026-03-21 14:04:27.305
54|@~612|@~Gg. Jamika No. 325|@~Tangerang Selatan|@~DKI Jakarta|@~2026-03-27 04:28:03.168
55|@~578|@~Gang Pacuan Kuda No. 8|@~Bandar Lampung|@~Riau|@~2026-03-25 10:51:29.423
56|@~480|@~Jalan Moch. Toha No. 663|@~Bau-Bau|@~Gorontalo|@~2026-03-17 11:34:57.481
57|@~623|@~Jalan Soekarno Hatta No. 13|@~Kota Administrasi Jakarta Pusat|@~Bali|@~2026-01-24 19:44:06.134
58|@~47|@~Gang Dipenogoro No. 319|@~Mojokerto|@~Banten|@~2026-02-26 15:19:21.170
59|@~733|@~Gg. Cihampelas No. 948|@~Denpasar|@~Kalimantan Selatan|@~2026-02-02 17:28:11.128
60|@~981|@~Jalan Cempaka No. 7|@~Tangerang Selatan|@~Sulawesi Utara|@~2026-03-13 13:00:19.875
61|@~206|@~Jalan Rungkut Industri No. 29|@~Solok|@~DI Yogyakarta|@~2026-03-04 00:27:58.958
62|@~349|@~Jl. Ir. H. Djuanda No. 507|@~Bengkulu|@~Aceh|@~2026-01-24 08:33:14.831
63|@~101|@~Jl. K.H. Wahid Hasyim No. 314|@~Probolinggo|@~Kepulauan Bangka Belitung|@~2026-01-08 10:06:57.785
64|@~80|@~Gg. Raya Ujungberung No. 74|@~Pangkalpinang|@~DI Yogyakarta|@~2026-03-17 19:33:58.737
65|@~976|@~Jalan Rungkut Industri No. 6|@~Batam|@~Sumatera Utara|@~2026-03-14 20:59:20.664
66|@~741|@~Jl. Ciwastra No. 711|@~Probolinggo|@~Jawa Tengah|@~2026-03-02 04:05:52.444
67|@~148|@~Jl. Gardujati No. 53|@~Metro|@~Sumatera Barat|@~2026-02-25 15:35:16.358
68|@~997|@~Jl. Rungkut Industri No. 0|@~Madiun|@~Sumatera Selatan|@~2026-02-17 00:32:15.755
69|@~835|@~Jl. Jend. Sudirman No. 34|@~Padangpanjang|@~Banten|@~2026-01-31 23:23:41.484
70|@~214|@~Gg. Cikapayang No. 93|@~Banjarmasin|@~Kepulauan Bangka Belitung|@~2026-01-25 01:39:15.640
71|@~326|@~Gg. Erlangga No. 15|@~Batam|@~Sulawesi Tengah|@~2026-02-26 21:39:44.062
72|@~404|@~Gang Cikutra Barat No. 5|@~Tangerang Selatan|@~Papua Barat|@~2026-01-26 15:08:35.436
73|@~966|@~Jalan M.H Thamrin No. 477|@~Kota Administrasi Jakarta Timur|@~Jawa Tengah|@~2026-02-07 16:35:28.956
74|@~721|@~Gang Rajiman No. 6|@~Padangpanjang|@~Kepulauan Bangka Belitung|@~2026-01-27 13:13:04.587
75|@~728|@~Jalan HOS. Cokroaminoto No. 6|@~Depok|@~Jawa Barat|@~2026-02-03 03:47:48.919
76|@~921|@~Gang Kapten Muslihat No. 2|@~Pariaman|@~Kalimantan Timur|@~2026-03-10 23:31:33.500
77|@~781|@~Jalan Ahmad Yani No. 983|@~Singkawang|@~Sulawesi Selatan|@~2026-03-20 04:48:38.288
78|@~335|@~Jalan BKR No. 088|@~Meulaboh|@~Maluku Utara|@~2026-01-28 18:16:06.828
79|@~963|@~Jl. BKR No. 057|@~Palu|@~Kepulauan Bangka Belitung|@~2026-02-15 06:07:04.168
80|@~49|@~Gang Ciumbuleuit No. 85|@~Jambi|@~Nusa Tenggara Barat|@~2026-02-04 08:24:53.755
81|@~847|@~Gg. Sukajadi No. 0|@~Palembang|@~Banten|@~2026-02-09 04:08:46.919
82|@~479|@~Jl. Ciumbuleuit No. 09|@~Sungai Penuh|@~Sulawesi Utara|@~2026-02-11 08:22:14.124
83|@~198|@~Jalan Jakarta No. 4|@~Mataram|@~Jawa Timur|@~2026-03-09 08:42:01.461
84|@~951|@~Gang Erlangga No. 50|@~Mojokerto|@~DKI Jakarta|@~2026-01-11 12:26:28.767
85|@~67|@~Jalan Dr. Djunjunan No. 7|@~Sibolga|@~Nusa Tenggara Timur|@~2026-02-13 08:04:19.864
86|@~604|@~Gang Pacuan Kuda No. 5|@~Tual|@~Maluku Utara|@~2026-03-08 03:31:32.554
87|@~245|@~Gang Laswi No. 7|@~Tanjungpinang|@~Sulawesi Tengah|@~2026-02-15 11:19:56.369
88|@~988|@~Jalan HOS. Cokroaminoto No. 797|@~Tegal|@~DI Yogyakarta|@~2026-01-03 12:12:59.274
89|@~810|@~Gang Sukajadi No. 6|@~Gorontalo|@~Maluku Utara|@~2026-03-04 05:40:06.648
90|@~967|@~Jalan Setiabudhi No. 14|@~Langsa|@~Kalimantan Tengah|@~2026-01-27 17:00:29.533
91|@~414|@~Jalan Asia Afrika No. 7|@~Pagaralam|@~Nusa Tenggara Timur|@~2026-03-01 13:49:20.918
92|@~914|@~Jl. Pasteur No. 465|@~Surakarta|@~Kepulauan Bangka Belitung|@~2026-03-03 15:19:34.452
93|@~876|@~Jalan Rawamangun No. 4|@~Kota Administrasi Jakarta Timur|@~Maluku Utara|@~2026-01-28 13:11:02.521
94|@~722|@~Jl. S. Parman No. 59|@~Pagaralam|@~Kalimantan Timur|@~2026-02-11 19:22:37.804
95|@~446|@~Jl. Kiaracondong No. 799|@~Serang|@~Riau|@~2026-03-16 15:45:10.627
96|@~587|@~Gang Medokan Ayu No. 682|@~Yogyakarta|@~Sumatera Utara|@~2026-03-14 12:50:06.305
97|@~70|@~Gg. Peta No. 505|@~Palembang|@~Bali|@~2026-03-07 13:46:45.437
98|@~670|@~Gg. Lembong No. 56|@~Surakarta|@~Aceh|@~2026-01-08 02:49:30.264
99|@~323|@~Jl. Rawamangun No. 9|@~Pagaralam|@~Banten|@~2026-01-06 05:29:53.043
100|@~491|@~Gg. Pasirkoja No. 274|@~Jayapura|@~Nusa Tenggara Barat|@~2026-01-20 15:47:20.939
101|@~439|@~Gang Monginsidi No. 26|@~Tebingtinggi|@~Aceh|@~2026-01-06 11:39:19.984
102|@~611|@~Gang Cempaka No. 3|@~Lubuklinggau|@~Jawa Timur|@~2026-02-18 13:42:43.317
103|@~83|@~Jalan W.R. Supratman No. 279|@~Salatiga|@~Aceh|@~2026-01-20 20:31:57.771
104|@~276|@~Gg. Moch. Ramdan No. 35|@~Sukabumi|@~Kepulauan Riau|@~2026-03-06 07:29:18.149
105|@~263|@~Jl. Abdul Muis No. 2|@~Pasuruan|@~Jawa Barat|@~2026-03-24 05:25:46.114
106|@~195|@~Jalan R.E Martadinata No. 30|@~Metro|@~Jawa Barat|@~2026-02-01 05:01:20.604
107|@~548|@~Jalan Surapati No. 100|@~Pasuruan|@~Bengkulu|@~2026-03-30 18:19:15.336
108|@~935|@~Jl. Pasir Koja No. 1|@~Singkawang|@~Sulawesi Barat|@~2026-03-10 07:59:22.713
109|@~427|@~Jl. Kutisari Selatan No. 5|@~Padangpanjang|@~Banten|@~2026-02-25 08:29:07.842
110|@~942|@~Jalan Ciwastra No. 643|@~Kotamobagu|@~Sulawesi Selatan|@~2026-01-12 03:50:18.331
111|@~754|@~Gang Raya Setiabudhi No. 6|@~Pekalongan|@~Kalimantan Tengah|@~2026-03-17 08:13:48.814
112|@~62|@~Jalan Surapati No. 720|@~Pekalongan|@~Sulawesi Tengah|@~2026-02-14 23:23:19.403
113|@~273|@~Jalan Lembong No. 57|@~Depok|@~Aceh|@~2026-02-01 22:08:11.291
114|@~339|@~Gg. KH Amin Jasuta No. 398|@~Pariaman|@~DKI Jakarta|@~2026-01-08 13:38:27.976
115|@~69|@~Jalan Setiabudhi No. 6|@~Bau-Bau|@~Banten|@~2026-03-05 20:50:54.987
116|@~574|@~Jl. Merdeka No. 89|@~Sungai Penuh|@~Kepulauan Riau|@~2026-02-18 00:32:13.210
117|@~695|@~Jalan Peta No. 172|@~Tomohon|@~Banten|@~2026-02-20 21:08:23.857
118|@~288|@~Jl. Waringin No. 6|@~Kota Administrasi Jakarta Timur|@~Riau|@~2026-02-08 19:23:23.178
119|@~58|@~Jl. R.E Martadinata No. 275|@~Pagaralam|@~Nusa Tenggara Barat|@~2026-02-23 13:31:41.775
120|@~166|@~Jl. Pasirkoja No. 982|@~Dumai|@~Kepulauan Riau|@~2026-01-22 06:01:03.298
121|@~658|@~Gang Sukajadi No. 22|@~Subulussalam|@~Sulawesi Utara|@~2026-01-18 21:09:05.538
122|@~228|@~Jl. Kebonjati No. 9|@~Bandar Lampung|@~Kalimantan Barat|@~2026-02-04 20:46:50.569
123|@~175|@~Jl. Veteran No. 92|@~Palopo|@~Maluku Utara|@~2026-01-02 10:07:27.259
124|@~583|@~Gg. HOS. Cokroaminoto No. 056|@~Singkawang|@~Kepulauan Riau|@~2026-02-05 19:10:12.881
125|@~978|@~Gg. Yos Sudarso No. 594|@~Tual|@~Jawa Tengah|@~2026-03-16 14:19:08.256
126|@~971|@~Jalan Joyoboyo No. 4|@~Metro|@~Bali|@~2026-03-12 22:45:02.198
127|@~98|@~Gang Jend. A. Yani No. 83|@~Tual|@~Aceh|@~2026-03-07 00:23:47.521
128|@~255|@~Gg. Wonoayu No. 557|@~Depok|@~Riau|@~2026-01-30 09:43:39.605
129|@~564|@~Gang Suniaraja No. 05|@~Ambon|@~DI Yogyakarta|@~2026-01-21 10:10:40.837
130|@~294|@~Jl. HOS. Cokroaminoto No. 2|@~Gorontalo|@~Sumatera Selatan|@~2026-02-13 10:07:57.955
131|@~239|@~Jalan Asia Afrika No. 91|@~Ternate|@~Maluku|@~2026-01-01 19:24:02.164
132|@~209|@~Jl. Raya Setiabudhi No. 62|@~Pekanbaru|@~Aceh|@~2026-03-25 09:20:59.674
133|@~759|@~Jl. Ahmad Dahlan No. 71|@~Parepare|@~Jawa Tengah|@~2026-03-11 11:13:55.286
134|@~839|@~Jl. Cempaka No. 098|@~Binjai|@~Sulawesi Barat|@~2026-03-20 07:35:10.615
135|@~137|@~Jl. Cikutra Timur No. 600|@~Yogyakarta|@~Sulawesi Barat|@~2026-01-01 07:50:48.413
136|@~674|@~Gg. Lembong No. 81|@~Pekalongan|@~DI Yogyakarta|@~2026-03-22 23:02:10.753
137|@~170|@~Jl. Cikutra Timur No. 66|@~Lhokseumawe|@~Papua|@~2026-03-27 07:15:26.779
138|@~860|@~Jalan Rawamangun No. 920|@~Medan|@~DI Yogyakarta|@~2026-03-12 15:08:10.643
139|@~283|@~Gang H.J Maemunah No. 313|@~Palembang|@~Nusa Tenggara Barat|@~2026-02-27 18:24:44.462
140|@~547|@~Gang HOS. Cokroaminoto No. 3|@~Pekanbaru|@~Kalimantan Barat|@~2026-02-01 11:32:50.455
141|@~838|@~Jl. Rajawali Timur No. 704|@~Mataram|@~Sulawesi Tengah|@~2026-02-23 09:46:07.178
142|@~492|@~Gg. Sukabumi No. 32|@~Palopo|@~Kalimantan Tengah|@~2026-01-21 04:01:44.340
143|@~663|@~Jalan Monginsidi No. 50|@~Palangkaraya|@~Kalimantan Tengah|@~2026-02-16 04:54:12.006
144|@~854|@~Gang KH Amin Jasuta No. 10|@~Sorong|@~Nusa Tenggara Barat|@~2026-02-16 07:05:01.271
145|@~396|@~Gang Sentot Alibasa No. 76|@~Tual|@~Aceh|@~2026-01-12 00:06:44.192
146|@~299|@~Gg. Pasirkoja No. 87|@~Cilegon|@~Kepulauan Bangka Belitung|@~2026-02-04 07:35:52.321
147|@~809|@~Gang Lembong No. 83|@~Prabumulih|@~Bengkulu|@~2026-02-25 04:38:32.984
